"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00550968577202031,7,189,5.45194561650258,"GO:0009267 Cellular response to starvation ","https://amigo.geneontology.org/amigo/term/GO:0009267"," SESN2  GABARAPL1  CDKN1A  ATF3  GAS6  UPP1  AKR1C3"
0.00550968577202031,3,20,22.0803797468354,"GO:0042448 Progesterone metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0042448"," AKR1C1  AKR1C3  CYP1A1"
0.00550968577202031,3,20,22.0803797468354,"GO:0070230 Positive regulation of lymphocyte apoptotic process ","https://amigo.geneontology.org/amigo/term/GO:0070230"," CCL5  BAX  BBC3"
0.00556486830474235,7,190,5.42325116588941,"GO:0015718 Monocarboxylic acid transport ","https://amigo.geneontology.org/amigo/term/GO:0015718"," FABP6  APOE  BDKRB2  EDN1  TNF  ABCC3  AKR1C1"
0.00556486830474235,19,1155,2.42151350758946,"GO:1901698 Response to nitrogen compound ","https://amigo.geneontology.org/amigo/term/GO:1901698"," SESN2  ICAM1  SLC5A5  APOE  GDF15  IFIT1  TGM2  TRIM16  EDN1  ACHE  SOX9  FOSB  KLF2  VGF  BTG2  ADCY5  FOSL1  TNF  RFTN1"
0.0058627747785621,31,2406,1.89662447257384,"GO:0010558 Negative regulation of macromolecule biosynthetic process ","https://amigo.geneontology.org/amigo/term/GO:0010558"," APOBEC3H  FHL2  ID3  SOX9  DDIT3  PARP10  NANOS1  EDN1  ZNF423  SNAI1  KLF2  LOXL2  BTG2  ATF3  GAS6  TNF  HES2  LMCD1  RELB  RASD1  CDKN1A  APOE  SESN2  ATOH8  MAF  TSKU  H1-2  ZNF488  OAS1  GADD45A  FOSB"
0.0058627747785621,28,2079,1.98252567872821,"GO:0044419 Biological process involved in interspecies interaction between organisms ","https://amigo.geneontology.org/amigo/term/GO:0044419"," OAS1  APOBEC3H  CCL22  RELB  IRAK2  OASL  S100A9  IFIT1  CCL5  BAX  ICAM1  LCN2  DDIT4  GAS6  CYSRT1  TNF  EDN1  C3  VGF  APOE  CYP1A1  TMEM45B  C15orf48  FOSL1  CSF1  KRT16  ACTA2  RFTN1"
0.00614069032458775,39,3329,1.7245114851839,"GO:0002376 Immune system process ","https://amigo.geneontology.org/amigo/term/GO:0002376"," CCL22  RELB  C3  S100A9  CSF1  SIGLEC15  CCL5  BAX  OAS1  EDN2  LIF  IRAK2  OASL  AQP3  GAS6  IFIT1  TNF  H4C5  IL32  EDN1  ICAM1  APOBEC3H  EPAS1  CDKN1A  SOX9  KLF2  APOE  GDF15  RFTN1  DTX1  LCN2  TMEM45B  FOSL1  SPNS2  KRT16  PSMB9  DHRS2  HMOX1  GEM"
0.00614069032458775,4,50,11.7762025316456,"GO:0035272 Exocrine system development ","https://amigo.geneontology.org/amigo/term/GO:0035272"," NTN4  SOX9  TGM2  TNF"
0.00614069032458775,4,50,11.7762025316456,"GO:0045429 Positive regulation of nitric oxide biosynthetic process ","https://amigo.geneontology.org/amigo/term/GO:0045429"," KLF2  APOE  TNF  EDN1"
0.00621722485105299,13,629,3.04234167153006,"GO:0040008 Regulation of growth ","https://amigo.geneontology.org/amigo/term/GO:0040008"," EDN1  CDKN1A  GDF15  SESN2  IGFBP3  CSF1  NANOS1  BBC3  RFTN1  L1CAM  PRR5  APOE  S100A9"
0.00627083123479033,6,139,6.35406611419725,"GO:0034219 Carbohydrate transmembrane transport ","https://amigo.geneontology.org/amigo/term/GO:0034219"," AQP3  C3  EDN1  SESN2  TNF  SLC45A3"
0.00639151274470984,16,892,2.64040415507748,"GO:0042325 Regulation of phosphorylation ","https://amigo.geneontology.org/amigo/term/GO:0042325"," EDN1  CDKN1A  C3  LIF  APOE  SESN2  IGFBP3  GAS6  TNF  CCL5  PPP2R5B  FGF22  BAX  GADD45A  BDKRB2  CSF1"
0.00642638887158436,4,51,11.5452965996525,"GO:0042311 Vasodilation ","https://amigo.geneontology.org/amigo/term/GO:0042311"," BDKRB2  APOE  TNF  KLF2"
0.00642638887158436,4,51,11.5452965996525,"GO:0085029 Extracellular matrix assembly ","https://amigo.geneontology.org/amigo/term/GO:0085029"," NTN4  SOX9  GAS6  LAMB3"
0.00642638887158436,4,51,11.5452965996525,"GO:1904407 Positive regulation of nitric oxide metabolic process ","https://amigo.geneontology.org/amigo/term/GO:1904407"," KLF2  APOE  TNF  EDN1"
0.00642638887158436,5,91,8.08805118931701,"GO:2000027 Regulation of animal organ morphogenesis ","https://amigo.geneontology.org/amigo/term/GO:2000027"," NTN4  EDN1  SOX9  CSF1  TNF"
0.00675340380060167,35,2885,1.78581927472961,"GO:0010605 Negative regulation of macromolecule metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0010605"," TIMP3  APOBEC3H  FHL2  ID3  SOX9  DDIT3  PARP10  H1-2  NANOS1  EDN1  ZNF423  SNAI1  KLF2  APOE  LOXL2  IGFBP3  BTG2  ATF3  GAS6  TNF  HES2  LMCD1  BAX  RELB  RASD1  GADD45A  CDKN1A  SESN2  BDKRB2  ATOH8  MAF  TSKU  ZNF488  OAS1  FOSB"
0.00686668178211487,4,52,11.3232716650438,"GO:0006693 Prostaglandin metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0006693"," AKR1C1  AKR1C3  EDN1  EDN2"
0.00692527066846265,5,93,7.91411460460052,"GO:0046209 Nitric oxide metabolic process ","https://amigo.geneontology.org/amigo/term/GO:0046209"," KLF2  APOE  TNF  CYP1A1  EDN1"
